GEOID,w,today,scenario,status,saved,redpct
120810014021,1,,,no_transit_either,,
120810014041,1,,,no_transit_either,,
120810020162,1,,,no_transit_either,,
120810020211,1,,,no_transit_either,,
120810020231,1,,,no_transit_either,,
120850004004,1,,,no_transit_either,,
120850011062,1,,,no_transit_either,,
120850013021,1,,,no_transit_either,,
120850014091,1,,,no_transit_either,,
120850016011,1,,,no_transit_either,,
120860001071,1,,,no_transit_either,,
120860001201,1,,,no_transit_either,,
120860002241,1,,,no_transit_either,,
120860002242,1,,,no_transit_either,,
120860003083,1,,,no_transit_either,,
120860003102,1,,,no_transit_either,,
120860006101,1,,,no_transit_either,,
120860007103,1,,,no_transit_either,,
120860007121,1,,,no_transit_either,,
120860009071,1,,,no_transit_either,,
120860011041,1,,,no_transit_either,,
120860012043,1,,,no_transit_either,,
120860012061,1,,,no_transit_either,,
120860015023,1,,,no_transit_either,,
120860039171,1,,,no_transit_either,,
120860040005,1,,,no_transit_either,,
120860043011,1,,,no_transit_either,,
120860044063,2,,,no_transit_either,,
120860045005,1,,,no_transit_either,,
120860046023,1,,,no_transit_either,,
120860102121,1,,,no_transit_either,,
120860106201,1,,,no_transit_either,,
120860107091,1,,,no_transit_either,,
120860110082,1,,,no_transit_either,,
120860198011,1,,,no_transit_either,,
120860201001,1,,,no_transit_either,,
120879706002,1,,,no_transit_either,,
120879719002,1,,,no_transit_either,,
120879727003,1,,,no_transit_either,,
120939101011,1,,,no_transit_either,,
120939104012,1,,,no_transit_either,,
120950123032,1,,,no_transit_either,,
120950123041,2,,,no_transit_either,,
120950127011,1,,,no_transit_either,,
120950135113,1,,,no_transit_either,,
120950136071,1,,,no_transit_either,,
120950138031,1,,,no_transit_either,,
120950141001,1,,,no_transit_either,,
120950147061,1,,,no_transit_either,,
120950148074,1,,,no_transit_either,,
120950148102,1,,,no_transit_either,,
120950148121,1,,,no_transit_either,,
120950149042,2,,,no_transit_either,,
120950149091,1,,,no_transit_either,,
120950150062,1,,,no_transit_either,,
120950152043,1,,,no_transit_either,,
120950153002,1,,,no_transit_either,,
120950159012,1,,,no_transit_either,,
120950161003,1,,,no_transit_either,,
120950164131,1,,,no_transit_either,,
120950165121,1,,,no_transit_either,,
120950165151,1,,,no_transit_either,,
120950166071,2,,,no_transit_either,,
120950167133,1,,,no_transit_either,,
120950167352,1,,,no_transit_either,,
120950167431,1,,,no_transit_either,,
120950167532,1,,,no_transit_either,,
120950168024,1,,,no_transit_either,,
120950168101,1,,,no_transit_either,,
120950168112,1,,,no_transit_either,,
120950168113,1,,,no_transit_either,,
120950168121,2,,,no_transit_either,,
120950168131,1,,,no_transit_either,,
120950169111,1,,,no_transit_either,,
120950170133,1,,,no_transit_either,,
120950170181,1,,,no_transit_either,,
120950170221,2,,,no_transit_either,,
120950171082,1,,,no_transit_either,,
120950171093,1,,,no_transit_either,,
120950171103,1,,,no_transit_either,,
120950171122,1,,,no_transit_either,,
120950171143,1,,,no_transit_either,,
120950171173,1,,,no_transit_either,,
120950171181,1,,,no_transit_either,,
120950171201,1,,,no_transit_either,,
120950171221,1,,,no_transit_either,,
120950173011,1,,,no_transit_either,,
120950175062,1,,,no_transit_either,,
120950177013,1,,,no_transit_either,,
120970408071,1,,,no_transit_either,,
120970408082,1,,,no_transit_either,,
120970408092,1,,,no_transit_either,,
120970409041,1,,,no_transit_either,,
120970411011,1,,,no_transit_either,,
120970411022,1,,,no_transit_either,,
120970413011,1,,,no_transit_either,,
120970418002,1,,,no_transit_either,,
120970421001,2,,,no_transit_either,,
120970421002,1,,,no_transit_either,,
120970422011,1,,,no_transit_either,,
120970426031,1,,,no_transit_either,,
120970426041,1,,,no_transit_either,,
120970429012,1,,,no_transit_either,,
120970432032,1,,,no_transit_either,,
120970432083,1,,,no_transit_either,,
120970433032,1,,,no_transit_either,,
120970436002,1,,,no_transit_either,,
120970437001,1,,,no_transit_either,,
120990002172,1,,,no_transit_either,,
120990002211,1,,,no_transit_either,,
120990004063,1,,,no_transit_either,,
120990005053,1,,,no_transit_either,,
120990007022,1,,,no_transit_either,,
120990008051,1,,,no_transit_either,,
120990009052,1,,,no_transit_either,,
120990019131,1,,,no_transit_either,,
