GEOID,pop,scenario,today
170312515004,1672,57,66
170312516001,1289,58,72
170312516002,1036,61,76
170312516003,1197,63,74
170312517001,1347,53,70
170312518001,1108,67,78
170312518002,1037,66,75
170312518003,956,60,74
170312518004,749,60,74
170312518005,1251,63,77
170312519001,762,65,74
170312519002,1395,68,76
170312519003,1220,58,67
170312519004,2010,60,69
170312520001,737,59,68
170312520002,1956,61,69
170312520003,1714,66,68
170312520004,1239,65,66
170312521011,1502,66,72
170312521021,1701,66,75
170312521022,1536,67,75
170312521023,1743,70,79
170312521024,1207,65,75
170312522011,837,68,80
170312522012,749,68,79
170312522013,1354,69,81
170312522021,845,63,77
170312522022,986,64,78
170312522023,1050,65,78
170312522024,751,64,78
170312522025,1151,65,79
170312601001,1477,68,73
170312602001,1054,68,74
170312603001,1528,73,79
170312604001,1398,67,80
170312605001,1833,69,79
170312606001,888,73,77
170312606002,1226,70,78
170312607001,490,69,75
170312607002,1201,71,75
170312608001,1059,69,75
170312608002,1212,71,75
170312609001,1201,74,79
170312609002,577,72,76
170312610001,1118,72,81
170312610002,1171,75,76
170312705001,1619,74,76
170312712001,1172,68,72
170312713001,1060,67,67
170312714001,1535,68,68
170312715001,1373,68,70
170312718001,976,72,73
170312801001,1982,53,55
170312801002,3852,54,54
170312801003,1587,52,52
170312804001,1231,61,61
170312808001,1198,64,64
170312809001,1077,62,62
170312819001,2765,59,59
170312819002,1688,56,57
170312819003,2578,57,58
170312827001,1112,68,68
170312827002,1446,64,64
170312828001,1634,65,65
170312831001,1176,67,67
170312831002,1541,66,66
170312832001,1670,68,69
170312838001,614,71,71
170312838002,2729,71,73
170312909001,956,77,83
170312909002,924,78,83
170312909003,966,82,86
170312909004,1129,80,86
170312912001,1202,71,75
170312912002,1084,71,75
170312916001,874,75,75
170312922001,898,78,78
170312922002,1260,77,77
170312922003,784,79,79
170312924001,920,80,80
170312924002,1121,76,76
170312925001,1244,79,79
170312925002,1169,77,77
170312925003,1644,76,76
170313005001,857,82,82
170313005002,2386,83,85
