shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X3_NB,41.685957,-87.61219,9
X3_NB,41.692751,-87.610474,10
X3_NB,41.699673,-87.608929,11
X3_NB,41.706914,-87.607169,12
X3_NB,41.72149,-87.603865,13
X3_NB,41.729465,-87.602148,14
X3_NB,41.737184,-87.60026,15
X3_NB,41.74426,-87.598715,16
X3_NB,41.750856,-87.597213,17
X3_NB,41.758828,-87.595324,18
X3_NB,41.773259,-87.592034,19
X3_NB,41.780241,-87.590475,20
X3_NB,41.788049,-87.58863,21
X3_NB,41.79336,-87.587643,22
X3_NB,41.797328,-87.586827,23
X3_NB,41.800015,-87.586784,24
X3_NB,41.802671,-87.587428,25
X3_NB,41.805902,-87.588587,26
X3_NB,41.80974,-87.591333,27
X3_NB,41.824736,-87.602285,28
X3_NB,41.833918,-87.608886,29
X3_NB,41.844182,-87.61322,30
X3_NB,41.851534,-87.61631,31
X3_NB,41.858502,-87.618198,32
X3_NB,41.863969,-87.620066,33
X3_NB,41.865248,-87.620098,34
X3_NB,41.866105,-87.620174,35
X3_NB,41.866584,-87.620281,36
X3_NB,41.866928,-87.62042,37
X3_NB,41.867239,-87.620678,38
X3_NB,41.867471,-87.620946,39
X3_NB,41.867623,-87.621214,40
X3_NB,41.867711,-87.621547,41
X3_NB,41.867719,-87.62189,42
X3_NB,41.867671,-87.622341,43
X3_NB,41.867583,-87.622813,44
X3_NB,41.867487,-87.623381,45
X3_NB,41.867433,-87.627466,46
X3_NB,41.867255,-87.63897,47
X3_NB,41.867287,-87.639314,48
X3_NB,41.867471,-87.639882,49
X3_NB,41.867759,-87.640322,50
X3_NB,41.868102,-87.640612,51
X3_NB,41.868573,-87.64073,52
X3_NB,41.86978,-87.640785,53
X3_NB,41.87525,-87.641001,54
X3_NB,41.877742,-87.641044,55
X3_NB,41.884432,-87.641273,56
X3_NB,41.888957,-87.641394,57
X3_NB,41.890518,-87.642038,58
X3_NB,41.894247,-87.645837,59
X3_NB,41.895693,-87.647316,60
X3_NB,41.896827,-87.648754,61
X3_NB,41.897434,-87.650192,62
X3_NB,41.898248,-87.652831,63
X3_NB,41.899083,-87.65665,64
X3_NB,41.900265,-87.658753,65
X3_NB,41.901606,-87.659869,66
X3_NB,41.903044,-87.660298,67
X3_NB,41.905727,-87.66047,68
X3_NB,41.907036,-87.660985,69
X3_NB,41.910198,-87.663774,70
X3_NB,41.917096,-87.668152,71
X3_NB,41.918757,-87.670469,72
X3_NB,41.928346,-87.68772,73
X3_NB,41.939571,-87.707253,74
X3_NB,41.952533,-87.730122,75
X3_NB,41.971153,-87.762392,76
X3_NB,41.979783,-87.778058,77
X3_NB,41.991586,-87.798872,78
X3_NB,42.002558,-87.818012,79
X3_NB,42.010275,-87.831616,80
X3_NB,42.024144,-87.856207,81
X3_NB,42.040943,-87.886505,82
X3_NB,42.040943,-87.886505,83
X3_NB,42.045835,-87.897384,84
X3_NB,42.052479,-87.912254,85
X3_NB,42.063026,-87.936072,86
X3_NB,42.084306,-87.98358,87
X3_NB,42.095261,-88.009114,88
X3_SB,42.095261,-88.009114,1
X3_SB,42.084306,-87.98358,2
