crosstownerstation-oak-park-ave-mars	Oak Park Ave (Mars)	41.919076	-87.794452
crosstownerstation-northbrook	Northbrook	42.126875	-87.827840
crosstownerstation-wheeling	Wheeling	42.136582	-87.927232
crosstownerstation-buffalo-grove	Buffalo Grove	42.168620	-87.941394
crosstownerstation-prairie-view	Prairie View	42.198035	-87.955770
crosstownerstation-vernon-hills	Vernon Hills	42.215519	-87.964568
crosstownerstation-mundelein	Mundelein	42.266829	-87.997913
crosstownerstation-prairie-crossing-g	Prairie Crossing [G]	42.318384	-88.017612
crosstownerstation-grayslake-washington-st	Grayslake - Washington St	42.359178	-88.050356
crosstownerstation-round-lake-beach	Round Lake Beach	42.384923	-88.065376
crosstownerstation-lake-villa	Lake Villa	42.417500	-88.079452
crosstownerstation-antioch	Antioch	42.481150	-88.092327
crosstownerstation-franklin-park-25th-ave	Franklin Park - 25th Ave	41.936509	-87.866335
crosstownerstation-mannheim	Mannheim	41.941648	-87.883372
crosstownerstation-itasca	Itasca	41.971616	-88.013964
crosstownerstation-medinah	Medinah	41.978443	-88.051128
crosstownerstation-roselle	Roselle	41.981570	-88.067093
crosstownerstation-schaumburg	Schaumburg	41.989290	-88.118076
crosstownerstation-hanover-park	Hanover Park	41.988014	-88.149061
crosstownerstation-bartlett	Bartlett	41.992096	-88.183737
crosstownerstation-elgin-national-st	Elgin - National St	42.026344	-88.278666
crosstownerstation-palos-heights	Palos Heights	41.681887	-87.806940
crosstownerstation-palos-park	Palos Park	41.668873	-87.820373
crosstownerstation-143rd-street	143rd Street	41.632509	-87.857151
crosstownerstation-153rd-street	153rd Street	41.609538	-87.873502
crosstownerstation-olympia-fields	Olympia Fields	41.521367	-87.690082
crosstownerstation-211th-street	211th Street	41.506070	-87.698364
crosstownerstation-matteson	Matteson	41.498582	-87.702184
crosstownerstation-richton-park	Richton Park	41.485563	-87.709394
crosstownerstation-university-park	University Park	41.459420	-87.723298
crosstownerstation-east-chicago	East Chicago	41.611729	-87.478821
crosstownerstation-gary-chicago-airport	Gary-Chicago Airport	41.605458	-87.394475
crosstownerstation-gary-metro-center	Gary Metro Center	41.604912	-87.338939
crosstownerstation-miller	Miller	41.597898	-87.268326
crosstownerstation-portage-ogden-dunes	Portage/Ogden Dunes	41.617366	-87.186709
crosstownerstation-dune-park	Dune Park	41.644940	-87.061133
crosstownerstation-beverly-shores	Beverly Shores	41.673083	-86.985594
crosstownerstation-michigan-city-11th-street	Michigan City - 11th Street	41.711785	-86.897737
crosstownerstation-michigan-city-carroll-ave	Michigan City - Carroll Ave	41.713304	-86.867909
crosstownerstation-hudson-lake	Hudson Lake	41.709461	-86.537747
crosstownerstation-south-bend-airport	South Bend Airport	41.700808	-86.310980
crosstownerstation-sox-park	Sox Park	41.831317	-87.632275
crosstownerstation-randolph-clinton	Randolph/Clinton	41.884432	-87.641273
crosstownerstation-union-station-west	Union Station (West)	41.877742	-87.641044
crosstownerstation-taylor-clinton	Taylor/Clinton	41.869780	-87.640785
crosstownerstation-roosevelt	Roosevelt	41.867434	-87.627466
crosstownerstation-union-station-riverside	Union Station (Riverside)	41.879954	-87.638865
crosstownerstation-a-2-reconfiguration	A-2 Reconfiguration	41.888529	-87.686824
crosstownerstation-ashland-ogden	Ashland-Ogden	41.888732	-87.665663
crosstownerstation-91st-street-60	91st Street	41.729465	-87.602148
crosstownerstation-107th-street-63	107th Street	41.699673	-87.608929
crosstownerstation-91st-street-133	91st Street	41.727992	-87.667294
crosstownerstation-107th-street-137	107th Street	41.698904	-87.669954
crosstownerstation-midlothian	Midlothian	41.626414	-87.711625
crosstownerstation-oak-forest	Oak Forest	41.604501	-87.738233
crosstownerstation-tinley-park-oak-park-ave	Tinley Park - Oak Park Ave	41.575838	-87.782693
crosstownerstation-tinley-park-80th-ave	Tinley Park - 80th Ave	41.564472	-87.809129
crosstownerstation-mokena-hickory-creek	Mokena - Hickory Creek	41.548672	-87.845564
crosstownerstation-mokena-front-st	Mokena - Front St	41.530845	-87.886677
crosstownerstation-new-lenox	New Lenox	41.514426	-87.965727
crosstownerstation-joliet	Joliet	41.524323	-88.078594
crosstownerstation-millennium-station	Millennium Station	41.884260	-87.623520
crosstownerstation-van-buren-street	Van Buren Street	41.877038	-87.622919
crosstownerstation-museum-campus	Museum Campus	41.869113	-87.621803
crosstownerstation-hazel-crest	Hazel Crest	41.580750	-87.658625
crosstownerstation-calumet	Calumet	41.573591	-87.662530
